,Accesos por cada 100 hogares,id_calendario,id_provincia
0,78.11,35,1
1,77.58,34,1
2,76.08,33,1
3,75.66,32,1
4,71.68,31,1
5,70.0,30,1
6,69.11,29,1
7,68.98,28,1
8,67.66,27,1
9,65.22,26,1
10,64.33,25,1
11,64.25,24,1
12,69.36,23,1
13,67.85,22,1
14,66.24,21,1
15,64.6,20,1
16,64.44,19,1
17,62.78,18,1
18,62.63,17,1
19,57.61,16,1
20,55.63,15,1
21,56.27,14,1
22,58.57,13,1
23,61.24,12,1
24,60.14,11,1
25,59.34,10,1
26,57.34,9,1
27,58.29,8,1
28,57.69,7,1
29,56.8,6,1
30,56.37,5,1
31,56.09,4,1
32,56.75,3,1
33,55.06,2,1
34,54.57,1,1
35,122.28,35,4
36,121.31,34,4
37,111.8,33,4
38,111.27,32,4
39,111.27,31,4
40,110.14,30,4
41,108.42,29,4
42,108.31,28,4
43,107.68,27,4
44,106.41,26,4
45,105.98,25,4
46,106.25,24,4
47,112.65,23,4
48,110.55,22,4
49,109.2,21,4
50,108.27,20,4
51,108.45,19,4
52,106.53,18,4
53,106.24,17,4
54,122.9,16,4
55,121.86,15,4
56,124.06,14,4
57,108.37,13,4
58,120.63,12,4
59,120.77,11,4
60,120.04,10,4
61,115.16,9,4
62,118.13,8,4
63,118.29,7,4
64,116.07,6,4
65,114.9,5,4
66,114.9,4,4
67,113.8,3,4
68,113.14,2,4
69,112.25,1,4
70,65.33,35,20
71,62.4,34,20
72,58.21,33,20
73,55.25,32,20
74,52.71,31,20
75,52.34,30,20
76,48.9,29,20
77,49.41,28,20
78,47.16,27,20
79,45.43,26,20
80,37.62,25,20
81,36.44,24,20
82,30.88,23,20
83,32.13,22,20
84,32.19,21,20
85,32.23,20,20
86,32.92,19,20
87,32.86,18,20
88,32.79,17,20
89,28.62,16,20
90,32.49,15,20
91,25.98,14,20
92,25.66,13,20
93,26.54,12,20
94,26.48,11,20
95,26.07,10,20
96,25.91,9,20
97,26.24,8,20
98,25.86,7,20
99,25.45,6,20
100,25.11,5,20
101,25.51,4,20
102,24.71,3,20
103,24.7,2,20
104,24.25,1,20
105,43.86,35,11
106,43.79,34,11
107,44.06,33,11
108,44.05,32,11
109,42.96,31,11
110,43.33,30,11
111,43.14,29,11
112,43.03,28,11
113,41.54,27,11
114,39.83,26,11
115,37.48,25,11
116,36.84,24,11
117,35.85,23,11
118,34.14,22,11
119,32.64,21,11
120,32.59,20,11
121,32.28,19,11
122,31.25,18,11
123,30.83,17,11
124,30.81,16,11
125,29.98,15,11
126,29.05,14,11
127,28.62,13,11
128,28.79,12,11
129,28.91,11,11
130,28.59,10,11
131,28.08,9,11
132,28.35,8,11
133,27.96,7,11
134,27.46,6,11
135,26.65,5,11
136,21.87,4,11
137,21.11,3,11
138,20.96,2,11
139,20.72,1,11
140,84.38,35,18
141,83.19,34,18
142,88.05,33,18
143,82.57,32,18
144,80.71,31,18
145,72.29,30,18
146,68.99,29,18
147,68.35,28,18
148,68.34,27,18
149,57.34,26,18
150,51.27,25,18
151,51.15,24,18
152,47.57,23,18
153,46.99,22,18
154,43.0,21,18
155,42.61,20,18
156,56.39,19,18
157,54.9,18,18
158,53.72,17,18
159,51.46,16,18
160,46.22,15,18
161,35.55,14,18
162,35.66,13,18
163,36.07,12,18
164,36.18,11,18
165,36.12,10,18
166,36.09,9,18
167,36.89,8,18
168,36.81,7,18
169,36.58,6,18
170,37.61,5,18
171,40.25,4,18
172,40.6,3,18
173,41.41,2,18
174,41.24,1,18
175,88.31,35,2
176,87.48,34,2
177,85.76,33,2
178,84.51,32,2
179,81.28,31,2
180,80.12,30,2
181,78.59,29,2
182,78.08,28,2
183,75.22,27,2
184,72.71,26,2
185,70.69,25,2
186,70.48,24,2
187,68.59,23,2
188,68.07,22,2
189,65.52,21,2
190,65.09,20,2
191,64.24,19,2
192,63.27,18,2
193,63.52,17,2
194,63.33,16,2
195,62.31,15,2
196,58.97,14,2
197,57.65,13,2
198,57.7,12,2
199,58.24,11,2
200,57.55,10,2
201,55.28,9,2
202,57.36,8,2
203,57.08,7,2
204,55.87,6,2
205,54.7,5,2
206,54.7,4,2
207,54.23,3,2
208,53.45,2,2
209,52.52,1,2
210,48.21,35,10
211,48.35,34,10
212,47.64,33,10
213,45.51,32,10
214,44.9,31,10
215,43.54,30,10
216,42.66,29,10
217,42.43,28,10
218,41.75,27,10
219,40.3,26,10
220,38.73,25,10
221,38.77,24,10
222,38.49,23,10
223,38.16,22,10
224,35.13,21,10
225,34.57,20,10
226,34.25,19,10
227,33.81,18,10
228,32.66,17,10
229,32.52,16,10
230,32.17,15,10
231,31.39,14,10
232,30.94,13,10
233,30.98,12,10
234,31.07,11,10
235,30.58,10,10
236,30.08,9,10
237,30.34,8,10
238,30.17,7,10
239,29.58,6,10
240,28.95,5,10
241,23.56,4,10
242,22.79,3,10
243,22.58,2,10
244,22.32,1,10
245,63.67,35,8
246,63.9,34,8
247,63.7,33,8
248,63.16,32,8
249,62.18,31,8
250,61.66,30,8
251,60.44,29,8
252,59.47,28,8
253,58.19,27,8
254,56.54,26,8
255,56.12,25,8
256,57.99,24,8
257,57.9,23,8
258,57.48,22,8
259,56.79,21,8
260,54.37,20,8
261,50.22,19,8
262,49.2,18,8
