,Banda ancha fija,Dial up,Total,id_calendario,id_provincia
0,4715469,6199,4721668,35,1
1,4660984,6199,4667183,34,1
2,4549131,6293,4555424,33,1
3,4502772,6385,4509157,32,1
4,4246425,5184,4251609,31,1
5,4127167,5184,4132351,30,1
6,4054936,5066,4060002,29,1
7,4028195,5066,4033261,28,1
8,3932211,5066,3937277,27,1
9,3772480,5066,3777546,26,1
10,3702985,5066,3708051,25,1
11,3681120,5134,3686254,24,1
12,3950114,10119,3960233,23,1
13,3845594,10104,3855698,22,1
14,3736563,10104,3746667,21,1
15,3626502,10104,3636606,20,1
16,3599714,10563,3610277,19,1
17,3490134,10565,3500699,18,1
18,3464882,10564,3475446,17,1
19,3171206,10690,3181896,16,1
20,3046758,11202,3057960,15,1
21,3067430,11201,3078631,14,1
22,3178174,11202,3189376,13,1
23,3131499,11202,3142701,12,1
24,3075387,11205,3086592,11,1
25,3032776,12515,3045291,10,1
26,2929903,12612,2942515,9,1
27,2946743,12642,2959385,8,1
28,2916070,12695,2928765,7,1
29,2871079,12711,2883790,6,1
30,2847076,14766,2861842,5,1
31,2801178,15229,2816407,4,1
32,2835537,14028,2849565,3,1
33,2750430,14116,2764546,2,1
34,2725732,14144,2739876,1,1
35,1545534,2145,1547679,35,4
36,1534626,2145,1536771,34,4
37,1415378,2163,1417541,33,4
38,1409935,2184,1412119,32,4
39,1411797,1608,1413405,31,4
40,1398747,1608,1400355,30,4
41,1378283,1390,1379673,29,4
42,1378140,1390,1379530,28,4
43,1371285,1390,1372675,27,4
44,1356431,1390,1357821,26,4
45,1352104,1390,1353494,25,4
46,1356695,1410,1358105,24,4
47,1437734,3477,1441211,23,4
48,1412177,3443,1415620,22,4
49,1396157,3443,1399600,21,4
50,1385577,3443,1389020,20,4
51,1385804,6686,1392490,19,4
52,1362498,6688,1369186,18,4
53,1359882,6688,1366570,17,4
54,1575418,6906,1582324,16,4
55,1563289,7070,1570359,15,4
56,1592175,8016,1600191,14,4
57,1391030,8016,1399046,13,4
58,1393443,8016,1401459,12,4
