,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,id_calendario,id_provincia
0,29985,27709,290315,297915,267044,124190,3618689,65821.0,35,1
1,30639,28323,295238,307554,273954,129869,3535757,65849.0,34,1
2,31591,30056,313382,321756,290127,161183,3381049,26280.0,33,1
3,37821,11026,352950,331292,297296,196021,3259793,22958.0,32,1
4,37193,31149,1108940,248153,141383,192797,2482266,9728.0,31,1
5,37192,31178,1096049,244001,140322,236897,2337604,9108.0,30,1
6,36939,31187,1108368,240520,163747,222061,2246313,10867.0,29,1
7,36939,31197,1109865,242243,214171,213588,2176242,9016.0,28,1
8,37542,31514,1113823,234710,219772,194248,2085815,19853.0,27,1
9,37542,31606,1129236,241336,233132,188995,1894466,21233.0,26,1
10,38215,36802,1122034,236421,247977,205780,1802583,28935.0,25,1
11,33489,27537,1177446,262297,247106,452570,1465133,20676.0,24,1
12,238920,44648,1432722,222812,260506,483572,1246209,42294.0,23,1
13,199768,46852,1436259,217785,438663,502275,985767,43438.0,22,1
14,162513,72296,1429964,202511,576428,576859,705769,6369.0,21,1
15,134673,73761,1422463,194426,577679,949093,265386,19125.0,20,1
16,991,80459,1445733,190805,636090,897964,237248,120464.0,19,1
17,1009,81354,1459443,295457,816056,536049,199589,113357.0,18,1
18,1514,74766,1445752,292732,886678,480237,184203,105818.0,17,1
19,3865,55046,1551194,264645,712513,335140,151747,114182.0,16,1
20,6577,51411,1733479,311652,676137,140812,108400,0.0,15,1
21,7548,47472,1910156,299009,573298,93059,46178,0.0,14,1
22,6017,83918,2057698,402315,523540,90937,22299,0.0,13,1
23,6055,86281,2085605,403575,467398,72348,17279,0.0,12,1
24,5856,107945,2148475,393530,399116,52900,13318,0.0,11,1
25,10786,133385,2250898,335296,334723,31494,11933,0.0,10,1
26,7351,97880,2214760,289929,247372,8315,9529,0.0,9,1
27,7985,100303,2253197,274560,240188,3835,8180,0.0,8,1
28,8361,107351,2266948,262564,200491,2642,7720,0.0,7,1
29,8714,137189,2299705,243503,159922,2010,6712,0.0,6,1
30,8882,123589,2267852,220070,126958,1561,5700,0.0,5,1
31,8226,132937,2250445,203620,104322,997,5406,0.0,4,1
32,7355,128187,2281524,156693,68947,243,4232,0.0,3,1
33,6902,162274,2288772,140226,56549,284,4309,0.0,2,1
34,8469,171244,2279875,121787,38923,206,4037,0.0,1,1
35,517,5742,34371,67829,51946,28692,1253105,105477.0,35,4
36,517,5980,36036,72434,55372,31571,1229254,105607.0,34,4
37,527,5575,39918,77390,61053,43289,1188072,1717.0,33,4
38,563,1695,47133,81899,66135,66755,1147939,0.0,32,4
39,295,603,156978,67013,39785,73502,1075229,0.0,31,4
40,294,603,157558,73568,43859,86655,1037752,66.0,30,4
41,135,244,159662,76753,56457,83255,1003041,126.0,29,4
42,135,244,160210,78123,60208,80269,1000073,268.0,28,4
43,264,312,162222,85083,68753,78028,977766,247.0,27,4
44,264,312,166474,94585,79858,80160,935481,687.0,26,4
45,264,312,169651,102254,89665,85899,906009,0.0,25,4
46,307,15,177098,110218,110852,205810,753805,0.0,24,4
47,104,368,269704,120924,138011,258591,655108,0.0,23,4
48,74,1027,281370,124087,239691,296155,475991,0.0,22,4
49,74,7417,283787,131007,330122,365713,283463,0.0,21,4
50,74,7388,283281,143309,330496,437662,186810,0.0,20,4
51,73,8493,287919,147253,370677,415020,165055,0.0,19,4
52,73,9234,290291,219166,445345,264805,142253,0.0,18,4
53,89,10039,292566,222737,487826,227953,127384,0.0,17,4
54,314,31411,517018,284040,458120,178396,114939,0.0,16,4
55,283,33924,590689,311411,426300,120675,91917,0.0,15,4
56,556,35663,726223,304970,378571,80234,37977,0.0,14,4
57,510,1409,678922,218487,277195,66536,19881,0.0,13,4
58,517,1477,704324,225723,264582,53506,16756,0.0,12,4
59,331,995,759028,208249,240856,38341,13886,0.0,11,4
60,4352,1736,859039,146091,213010,19597,13477,0.0,10,4
61,2310,43686,869048,178665,192644,6577,10838,0.0,9,4
62,2417,46568,916813,172029,198635,3087,10899,0.0,8,4
63,2448,49340,942525,159618,175594,2028,10022,0.0,7,4
64,2493,51799,990112,148569,142976,1482,9258,0.0,6,4
