,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,id_calendario,id_provincia
0,339648.0,2748325.0,1436433.0,126846.0,70416.0,35,1
1,350652.0,2719613.0,1399043.0,126847.0,71028.0,34,1
2,392045.0,2728865.0,1242121.0,125521.0,66872.0,33,1
3,426325.0,2706506.0,1176024.0,126887.0,73415.0,32,1
4,585729.0,2595485.0,885613.0,120228.0,64554.0,31,1
5,603255.0,2503830.0,854173.0,113546.0,57547.0,30,1
6,629679.0,2452056.0,821597.0,98806.0,57864.0,29,1
7,635651.0,2441248.0,804991.0,93444.0,57927.0,28,1
8,653930.0,2384557.0,749087.0,94162.0,55541.0,27,1
9,661272.0,2244277.0,723072.0,91736.0,57189.0,26,1
10,673237.0,2210349.0,720688.0,85443.0,18334.0,25,1
11,720011.0,2191672.0,669194.0,87111.0,18266.0,24,1
12,1277249.0,2144956.0,425386.0,85572.0,27070.0,23,1
13,1284658.0,2079900.0,382971.0,75240.0,32929.0,22,1
14,1304507.0,2020730.0,336362.0,64867.0,20201.0,21,1
15,1305576.0,1949637.0,296102.0,65477.0,19814.0,20,1
16,1435856.0,1929273.0,156382.0,62318.0,26448.0,19,1
17,1450203.0,1807868.0,143626.0,71256.0,27746.0,18,1
18,1452061.0,1793884.0,133928.0,64379.0,31194.0,17,1
19,1241172.0,1718013.0,131181.0,60082.0,31448.0,16,1
20,1288025.0,1571180.0,124920.0,35058.0,38777.0,15,1
21,1378549.0,1535037.0,119132.0,21555.0,24358.0,14,1
22,1559178.0,1465817.0,118839.0,21200.0,24342.0,13,1
23,1563542.0,1414676.0,118747.0,21394.0,24342.0,12,1
24,1574216.0,1355770.0,113463.0,18867.0,24276.0,11,1
25,1579448.0,1305949.0,113070.0,21163.0,25661.0,10,1
26,1583560.0,1200859.0,111231.0,21108.0,25757.0,9,1
27,1586343.0,1223603.0,103269.0,20397.0,25773.0,8,1
28,1585467.0,1183894.0,113590.0,19989.0,25825.0,7,1
29,1581770.0,1141052.0,115660.0,19268.0,26040.0,6,1
30,1583135.0,1096836.0,134177.0,18754.0,28940.0,5,1
31,1575978.0,1070135.0,120528.0,17728.0,32038.0,4,1
32,1562533.0,1110628.0,124474.0,20049.0,31881.0,3,1
33,1568881.0,1025490.0,120008.0,17020.0,33147.0,2,1
34,1567685.0,1000879.0,120960.0,16528.0,33824.0,1,1
35,140791.0,1240125.0,129218.0,5758.0,31787.0,35,4
36,145491.0,1232226.0,121506.0,5757.0,31791.0,34,4
37,102290.0,1217225.0,62308.0,5784.0,29934.0,33,4
38,111360.0,1205128.0,60005.0,5679.0,29947.0,32,4
39,142902.0,1192107.0,42966.0,6059.0,29371.0,31,4
40,148989.0,1175097.0,41318.0,5580.0,29371.0,30,4
41,159805.0,1145093.0,39980.0,5559.0,29236.0,29,4
42,163060.0,1142528.0,39890.0,4815.0,29237.0,28,4
43,170375.0,1129573.0,39417.0,3936.0,29374.0,27,4
44,178896.0,1106133.0,39482.0,3937.0,29373.0,26,4
45,184494.0,1097635.0,38898.0,3911.0,28556.0,25,4
46,196938.0,1093143.0,35534.0,3914.0,28576.0,24,4
47,300288.0,1080973.0,24900.0,3895.0,31155.0,23,4
48,309937.0,1061358.0,36082.0,3962.0,4281.0,22,4
49,328246.0,1030814.0,32281.0,3978.0,4281.0,21,4
50,328253.0,1019490.0,33042.0,3978.0,4257.0,20,4
51,334353.0,1009252.0,35694.0,3872.0,9319.0,19,4
52,342431.0,977916.0,35610.0,3908.0,9321.0,18,4
53,349995.0,968483.0,35535.0,3164.0,9393.0,17,4
54,571363.0,961688.0,36277.0,3119.0,9877.0,16,4
55,583249.0,941092.0,33481.0,2814.0,9723.0,15,4
56,615262.0,932466.0,38628.0,2819.0,11016.0,14,4
57,428801.0,918328.0,38259.0,2730.0,10928.0,13,4
58,434835.0,914952.0,38161.0,2583.0,10928.0,12,4
59,447726.0,905105.0,36796.0,2514.0,10963.0,11,4
60,450644.0,892209.0,36669.0,2390.0,12672.0,10,4
61,454425.0,832126.0,36332.0,2284.0,12729.0,9,4
62,455427.0,879950.0,19818.0,2273.0,12758.0,8,4
63,454815.0,871262.0,30974.0,2229.0,12788.0,7,4
64,453178.0,858342.0,19786.0,2172.0,12806.0,6,4
65,454934.0,841743.0,19334.0,1994.0,14716.0,5,4
66,455785.0,840224.0,17155.0,1962.0,15394.0,4,4
67,450155.0,833402.0,17886.0,1995.0,14387.0,3,4
68,447637.0,828411.0,17729.0,1883.0,14555.0,2,4
69,445569.0,820161.0,17767.0,1866.0,14555.0,1,4
