,Año,Trimestre,Accesos TV por suscripción,Accesos TV satelital,Periodo
0,2022,3,7665931,2064699,Jul-Sept 2022
1,2022,2,7647584,2064637,Abr-Jun 2022
2,2022,1,7564827,2049628,Ene-Mar 2022
3,2021,4,7596758,2010217,Oct-Dic 2021
4,2021,3,7676892,2147571,Jul-Sept 2021
5,2021,2,7333071,2326029,Abr-Jun 2021
6,2021,1,7346948,2261855,Ene-Mar 2021
7,2020,4,7332508,2320365,Oct-Dic 2020
8,2020,3,7329433,2451671,Jul-Sept 2020
9,2020,2,7224135,2453731,Abr-Jun 2020
10,2020,1,7221911,2456768,Ene-Mar 2020
11,2019,4,7296185,2459872,Oct-Dic 2019
12,2019,3,7156690,2460927,Jul-Sept 2019
13,2019,2,7048709,2460177,Abr-Jun 2019
14,2019,1,6971691,2473124,Ene-Mar 2019
15,2018,4,6911972,2474558,Oct-Dic 2018
16,2018,3,7043550,2536706,Jul-Sept 2018
17,2018,2,6930762,2502826,Abr-Jun 2018
18,2018,1,6932176,2466902,Ene-Mar 2018
19,2017,4,6826025,2562320,Oct-Dic 2017
20,2017,3,6767020,2592551,Jul-Sept 2017
21,2017,2,6766484,2576258,Abr-Jun 2017
22,2017,1,6603332,2531404,Ene-Mar 2017
23,2016,4,6553801,2662031,Oct-Dic 2016
24,2016,3,6538382,2628542,Jul-Sept 2016
25,2016,2,6534381,2642286,Abr-Jun 2016
26,2016,1,6505712,2539255,Ene-Mar 2016
27,2015,4,6506102,2537610,Oct-Dic 2015
28,2015,3,6489305,2585384,Jul-Sept 2015
29,2015,2,6460053,2582737,Abr-Jun 2015
30,2015,1,6409504,2495326,Ene-Mar 2015
31,2014,4,6478044,2466184,Oct-Dic 2014
32,2014,3,6449845,2450098,Jul-Sept 2014
33,2014,2,6438522,2546820,Abr-Jun 2014
