,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),id_calendario,id_provincia
0,3422524,3129178,228867,15056,49423,35,1
1,3304641,3026513,219966,13953,44209,34,1
2,3335626,3039502,230537,14834,50753,33,1
3,3313370,3012453,234051,14886,51980,32,1
4,3164518,2852029,242423,15465,54601,31,1
5,3313370,3012453,234051,14886,51980,30,1
6,3203761,2874157,247958,15146,66500,29,1
7,3232457,2906464,254292,14992,56709,28,1
8,3233324,2919939,236054,15784,61547,27,1
9,3232457,2906464,254292,14992,56709,26,1
10,3261264,2925747,261533,14423,59561,25,1
11,3348525,2994702,266943,14902,71978,24,1
12,3414932,3058655,268169,14853,73255,23,1
13,3348525,2994702,266943,14902,71978,22,1
14,3563157,3149299,280518,14901,118439,21,1
15,4558545,4074597,332712,18514,132722,20,1
16,4492692,4011556,328786,17993,134357,19,1
17,4477907,3986269,328629,17754,145255,18,1
18,4437761,3897738,326697,17191,196135,17,1
19,4881863,4268288,343324,18011,252240,16,1
20,4780187,4166450,341904,17491,254342,15,1
21,4916108,4280149,359598,18042,258319,14,1
22,4872542,4259081,343205,18007,252249,13,1
23,4881863,4268288,343324,18011,252240,12,1
24,4780187,4166450,341904,17491,254342,11,1
25,4916108,4280149,359598,18042,258319,10,1
26,4872542,4259081,343205,18007,252249,9,1
27,4713888,3960199,474122,16615,262952,8,1
28,4713132,3922463,513849,16521,260299,7,1
29,4665956,3872029,515120,16074,262733,6,1
30,4801996,3979224,540095,17562,265115,5,1
31,4463139,3680053,509659,15264,258163,4,1
32,4405762,3631816,500343,14902,258701,3,1
33,4379382,3610509,492119,14373,262381,2,1
34,4385408,3622153,488810,14179,260266,1,1
35,1675854,1532216,112066,7372,24200,35,4
36,1445177,1323547,96195,6102,19333,34,4
37,1508031,1374155,104225,6706,22945,33,4
38,1439097,1308400,101656,6465,22576,32,4
39,1367485,1232448,104759,6683,23595,31,4
40,1439097,1308400,101656,6465,22576,30,4
41,1395627,1252044,108016,6598,28969,29,4
42,1423882,1280284,112014,6604,24980,28,4
43,1433000,1294110,104618,6995,27277,27,4
44,1423882,1280284,112014,6604,24980,26,4
45,1456196,1306383,116778,6440,26595,25,4
46,1478871,1322606,117895,6581,31789,24,4
47,1497396,1341174,117588,6513,32121,23,4
48,1478871,1322606,117895,6581,31789,22,4
49,1599798,1413982,125948,6691,53177,21,4
50,1753365,1567223,127972,7121,51049,20,4
51,1775534,1585386,129938,7111,53099,19,4
52,1742825,1551477,127904,6910,56534,18,4
53,1732094,1521319,127512,6710,76553,17,4
54,1618260,1414870,113807,5970,83613,16,4
55,1605054,1398978,114802,5873,85401,15,4
56,1580199,1375781,115587,5799,83032,14,4
57,1608800,1406249,113318,5946,83287,13,4
58,1618260,1414870,113807,5970,83613,12,4
59,1605054,1398978,114802,5873,85401,11,4
60,1580199,1375781,115587,5799,83032,10,4
61,1608800,1406249,113318,5946,83287,9,4
62,1572421,1321012,158154,5542,87713,8,4
63,1627395,1354386,177427,5704,89878,7,4
64,1654650,1373106,182673,5700,93171,6,4
65,1634130,1354140,183795,5976,90219,5,4
66,1615174,1331781,184442,5524,93427,4,4
67,1607082,1324771,182509,5436,94366,3,4
68,1602485,1321143,180074,5259,96009,2,4
69,1604914,1325588,178888,5189,95249,1,4
70,25672,23471,1717,113,371,35,20
71,22645,20739,1507,96,303,34,20
72,30167,27489,2085,134,459,33,20
73,29635,26944,2093,133,465,32,20
74,24683,22245,1891,121,426,31,20
75,29635,26944,2093,133,465,30,20
76,26597,23860,2059,126,552,29,20
77,33525,30145,2637,155,588,28,20
78,33596,30339,2453,164,640,27,20
79,33525,30145,2637,155,588,26,20
80,29743,26683,2385,132,543,25,20
81,31113,27826,2480,138,669,24,20
82,32676,29267,2566,142,701,23,20
83,31113,27826,2480,138,669,22,20
84,36178,31976,2848,151,1203,21,20
85,36970,33046,2698,150,1076,20,20
86,37877,33820,2772,152,1133,19,20
87,38159,33970,2800,151,1238,18,20
88,38375,33705,2825,149,1696,17,20
89,38665,33805,2719,143,1998,16,20
90,38840,33853,2778,142,2067,15,20
91,38551,33564,2820,141,2026,14,20
92,38665,33797,2723,143,2002,13,20
93,38665,33805,2719,143,1998,12,20
94,38840,33853,2778,142,2067,11,20
95,38551,33564,2820,141,2026,10,20
96,38665,33797,2723,143,2002,9,20
97,39268,32990,3950,138,2190,8,20
98,39243,32660,4278,138,2167,7,20
99,39141,32481,4321,135,2204,6,20
100,39142,32436,4402,143,2161,5,20
101,39423,32506,4502,135,2280,4,20
102,39453,32522,4481,133,2317,3,20
103,39351,32442,4422,129,2358,2,20
104,39318,32476,4382,127,2333,1,20
105,65662,60034,4391,289,948,35,11
106,56267,51531,3745,238,753,34,11
107,84847,77315,5864,377,1291,33,11
108,90829,82580,6416,408,1425,32,11
109,73770,66485,5651,361,1273,31,11
110,90829,82580,6416,408,1425,30,11
111,75834,68032,5869,359,1574,29,11
112,81113,72933,6381,376,1423,28,11
113,82542,74542,6026,403,1571,27,11
114,81113,72933,6381,376,1423,26,11
115,84041,75394,6740,372,1535,25,11
116,86928,77742,6930,387,1869,24,11
117,88269,79060,6932,384,1893,23,11
118,86928,77742,6930,387,1869,22,11
119,93703,82819,7377,392,3115,21,11
120,95754,85588,6989,389,2788,20,11
121,91629,81816,6706,367,2740,19,11
122,97970,87214,7190,388,3178,18,11
123,99037,86985,7291,384,4377,17,11
124,102077,89247,7179,377,5274,16,11
125,102824,89623,7354,376,5471,15,11
126,103002,89678,7534,378,5412,14,11
127,102077,89226,7190,377,5284,13,11
128,102077,89247,7179,377,5274,12,11
129,102824,89623,7354,376,5471,11,11
130,103002,89678,7534,378,5412,10,11
131,102077,89226,7190,377,5284,9,11
132,103362,86836,10396,364,5766,8,11
133,107211,89225,11689,376,5921,7,11
134,104243,86506,11508,359,5870,6,11
135,104250,86388,11725,381,5756,5,11
136,105378,86890,12033,360,6095,4,11
