,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos,id_calendario
0,8224482,54725089,62949571,1
1,7953775,53009865,60963640,2
2,8214424,53102043,61316467,3
3,8027505,53093330,61120835,4
4,7747230,52474633,60221863,5
5,7633527,52241939,59875466,6
6,7600799,53131712,60732511,7
7,7594526,54247485,61842011,8
8,7483126,54003635,61486761,9
9,7565115,54557406,62122521,10
10,7520789,56058550,63579339,11
11,7637635,56082170,63719805,12
12,7502772,55523350,63026122,13
13,7415230,55483528,62898758,14
14,7272585,54958224,62230809,15
15,7108228,54789151,61897379,16
16,7101698,53470098,60571796,17
17,6637444,52828949,59466393,18
18,6551391,52289745,58841136,19
19,6488017,52110024,58598041,20
20,6645995,51960447,58606442,21
21,5924037,51672054,57596091,22
22,5974898,50300828,56275726,23
23,5797378,50133536,55930914,24
24,5743132,49869048,55612810,25
25,5659667,49391056,55050723,26
26,5559724,49060162,54619886,27
27,5556299,49207602,54763900,28
28,6041047,50411986,56453033,29
29,6046091,50829471,56875562,30
30,6104479,51708030,57812509,31
31,6186994,52878833,59065827,32
32,6185039,53217542,59402581,33
33,6215483,53286808,59502291,34
34,6249094,53464409,59713503,35
